,rmse,outlier,std,mAP50,mAP5095
model.decoder.layers.2.encoder_attn.v_proj,0.019373951391095205,0.0242705925,0.4878336316751757,0.574,0.375
model.decoder.layers.2.encoder_attn.q_proj,0.051442837431317286,0.0128381796875,1.801239049188245,0.582,0.385
model.decoder.layers.2.encoder_attn.out_proj,0.00978912878781557,0.01041796875,0.5336692794862107,0.575,0.377
model.decoder.layers.2.fc1,0.024557833426765034,0.0178693828125,1.1442133819724358,0.579,0.384
model.decoder.layers.2.fc2,0.0038543925842358952,0.01131794140625,0.08276389961912826,0.581,0.384
model.decoder.layers.3.self_attn.k_proj,0.028938104088107746,0.009906109375,1.4301017771760867,0.581,0.385
model.decoder.layers.3.self_attn.v_proj,0.018274768920881406,0.01711475,1.036481509601799,0.581,0.384
model.decoder.layers.3.self_attn.q_proj,0.03074398095763865,0.009906109375,1.4301017771760867,0.581,0.385
model.decoder.layers.3.self_attn.out_proj,0.0033298589377885775,0.01701496875,0.2834509820381725,0.58,0.384
model.decoder.layers.3.encoder_attn.k_proj,0.03428574190253303,0.01051709,0.6849893851218789,0.566,0.359
model.decoder.layers.3.encoder_attn.v_proj,0.01680030132688227,0.0242705925,0.4878336316751757,0.566,0.362
model.decoder.layers.3.encoder_attn.q_proj,0.05072979327468645,0.0137615234375,1.8259888250790108,0.58,0.383
model.decoder.layers.3.encoder_attn.out_proj,0.008096412799897649,0.0201462109375,0.44605665960753277,0.569,0.36
model.decoder.layers.3.fc1,0.025022088416985104,0.01965315625,1.181148809079057,0.579,0.383
model.decoder.layers.3.fc2,0.002719005880256494,0.007730314453125,0.061072901694929814,0.581,0.384
model.decoder.layers.4.self_attn.k_proj,0.027046760366786094,0.0097864921875,1.367839343362834,0.581,0.385
model.decoder.layers.4.self_attn.v_proj,0.014799508887032667,0.017611703125,0.9486664297498987,0.58,0.384
model.decoder.layers.4.self_attn.q_proj,0.027860519431886218,0.0097864921875,1.367839343362834,0.581,0.385
model.decoder.layers.4.self_attn.out_proj,0.002540915184432552,0.015830328125,0.17512050156667283,0.581,0.385
model.decoder.layers.4.encoder_attn.k_proj,0.03430294706707909,0.01051709,0.6849893851218789,0.568,0.362
model.decoder.layers.4.encoder_attn.v_proj,0.014122052428623041,0.0242705925,0.4878336316751757,0.569,0.365
